
A T O M   T Y P E S

IDX	TYPE	RING
 8870    423.40047    423.40109
 8880    423.39421    423.39484
 8890    423.38788    423.38852
 8900    423.38146    423.38210
 8910    423.37499    423.37564
 8920    423.36843    423.36909
 8930    423.36176    423.36243
 8940    423.35499    423.35567
 8950    423.34810    423.34880
 8960    423.34110    423.34181
 8970    423.33397    423.33469
 8980    423.32670    423.32744
 8990    423.31930    423.32005
 9000    423.31173    423.31250
 9010    423.30409    423.30486
 9020    423.29636    423.29714
 9030    423.28849    423.28929
 9040    423.28045    423.28126
 9050    423.27221    423.27304
 9060    423.26376    423.26462
 9070    423.25512    423.25599
 9080    423.24742    423.24805
 9090    423.24163    423.24220
 9100    423.23594    423.23651
 9110    423.23019    423.23077
 9120    423.22436    423.22495
 9130    423.21847    423.21906
 9140    423.21249    423.21309
 9150    423.20644    423.20705
 9160    423.20030    423.20092
 9170    423.19407    423.19470
 9180    423.18774    423.18838
 9190    423.18131    423.18196
 9200    423.17478    423.17544
 9210    423.16814    423.16881
 9220    423.16137    423.16205
 9230    423.15448    423.15517
 9240    423.14745    423.14816
 9250    423.14028    423.14101
 9260    423.13297    423.13370
 9270    423.12553    423.12628
 9280    423.11793    423.11870
 9290    423.11015    423.11093
 9300    423.10227    423.10307
 9310    423.09419    423.09501
 9320    423.08588    423.08672
 9330    423.07748    423.07828
 9340    423.07122    423.07173
 9350    423.06613    423.06664
 9360    423.06101    423.06153
 9370    423.05584    423.05636
 9380    423.05062    423.05115
 9390    423.04535    423.04588
 9400    423.04001    423.04055
 9410    423.03462    423.03516
 9420    423.02916    423.02970
 9430    423.02363    423.02418
 9440    423.01803    423.01859
 9450    423.01236    423.01293
 9460    423.00661    423.00719
 9470    423.00078    423.00137
 9480    422.99486    422.99546
 9490    422.98885    422.98946
 9500    422.98275    422.98337
 9510    422.97654    422.97717
 9520    422.97023    422.97087
 9530    422.96380    422.96445
 9540    422.95725    422.95791
 9550    422.95059    422.95126
 9560    422.94380    422.94449
 9570    422.93688    422.93758
